serve,stroker,from,to,balance,hand,index
,Viktor Axelsen,front-right,front-right,even,forehand,2
,Lin Dan,front-right,front-left,even,backhand,3
,Viktor Axelsen,front-left,back-left,defensive,backhand,4
,Lin Dan,back-left,middle-center,even,forehand,5
,Viktor Axelsen,middle-center,front-center,even,forehand,6
,Lin Dan,front-center,front-center,even,forehand,7
,Viktor Axelsen,front-center,back-left,even,forehand,8
,Lin Dan,back-left,front-right,defensive,forehand,9
,Viktor Axelsen,front-right,back-left,even,forehand,10
,Lin Dan,back-left,front-right,defensive,forehand,11
,Viktor Axelsen,front-right,middle-right,offensive,forehand,12
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,middle-right,even,forehand,3
,Lin Dan,middle-right,front-left,offensive,backhand,4
,Viktor Axelsen,front-left,back-right,defensive,backhand,5
,Lin Dan,back-right,middle-center,offensive,forehand,6
,Viktor Axelsen,middle-center,front-left,defensive,backhand,7
,Lin Dan,front-left,middle-right,offensive,forehand,8
,Viktor Axelsen,middle-right,back-left,defensive,forehand,9
,Lin Dan,back-left,front-right,defensive,forehand,10
,Viktor Axelsen,front-right,back-left,offensive,forehand,11
,Lin Dan,back-left,back-right,defensive,forehand,12
,Viktor Axelsen,back-right,middle-right,even,forehand,13
,Lin Dan,middle-right,front-left,even,backhand,14
,Viktor Axelsen,front-left,back-right,defensive,backhand,15
,Lin Dan,back-right,front-right,offensive,forehand,16
,Viktor Axelsen,front-right,front-left,defensive,forehand,17
,Lin Dan,front-left,back-left,offensive,forehand,18
,Viktor Axelsen,back-left,middle-right,defensive,forehand,19
,Lin Dan,middle-right,front-left,even,backhand,20
,Viktor Axelsen,front-left,back-right,offensive,backhand,21
,Lin Dan,back-right,middle-left,defensive,forehand,22
,Viktor Axelsen,middle-left,back-left,defensive,backhand,23
,Lin Dan,back-left,front-right,defensive,forehand,24
,Viktor Axelsen,front-right,front-center,offensive,forehand,25
,Lin Dan,front-center,front-center,defensive,backhand,26
,Viktor Axelsen,front-center,front-center,offensive,backhand,27
,Lin Dan,front-center,back-left,defensive,backhand,28
,Viktor Axelsen,back-left,front-center,offensive,forehand,29
,Lin Dan,front-center,front-left,offensive,forehand,30
,Viktor Axelsen,front-left,back-left,defensive,backhand,31
,Lin Dan,back-left,middle-left,offensive,forehand,32
,Viktor Axelsen,middle-left,middle-right,even,backhand,33
,Lin Dan,middle-right,front-left,even,backhand,34
,Viktor Axelsen,front-left,back-left,even,backhand,35
,Lin Dan,back-left,front-left,defensive,forehand,36
,Viktor Axelsen,front-left,back-left,defensive,backhand,37
,Lin Dan,back-left,front-left,defensive,forehand,38
,Viktor Axelsen,front-left,front-right,offensive,backhand,39
,Lin Dan,front-right,back-right,defensive,backhand,40
,Viktor Axelsen,back-right,front-left,offensive,forehand,41
,Lin Dan,front-left,back-right,defensive,forehand,42
,Viktor Axelsen,back-right,middle-left,offensive,forehand,43
,Lin Dan,middle-left,front-right,even,forehand,44
,Viktor Axelsen,front-right,back-right,offensive,forehand,45
,Lin Dan,back-right,middle-left,defensive,forehand,46
,Viktor Axelsen,middle-left,front-right,offensive,backhand,47
,Lin Dan,front-right,back-right,even,backhand,48
,Viktor Axelsen,back-right,back-right,defensive,forehand,49
,Lin Dan,back-right,front-right,defensive,forehand,50
,Viktor Axelsen,front-right,back-right,defensive,forehand,51
,Lin Dan,back-right,back-right,defensive,forehand,52
,Viktor Axelsen,back-right,front-right,offensive,forehand,53
1,Viktor Axelsen,front-right,front-center,even,backhand,1
,Lin Dan,front-center,front-center,even,backhand,2
,Viktor Axelsen,front-center,back-right,even,backhand,3
,Lin Dan,back-right,middle-left,even,forehand,4
,Viktor Axelsen,middle-left,front-left,even,backhand,5
,Lin Dan,front-left,back-right,defensive,forehand,6
,Viktor Axelsen,back-right,back-left,defensive,forehand,7
,Lin Dan,back-left,front-left,offensive,forehand,8
,Viktor Axelsen,front-left,front-right,even,backhand,9
,Lin Dan,front-right,back-right,offensive,backhand,10
,Viktor Axelsen,back-right,back-left,defensive,forehand,11
,Lin Dan,back-left,middle-left,offensive,forehand,12
,Viktor Axelsen,middle-left,front-right,even,backhand,13
,Lin Dan,front-right,front-left,even,backhand,14
,Viktor Axelsen,front-left,back-left,even,backhand,15
,Lin Dan,back-left,front-right,defensive,forehand,16
,Viktor Axelsen,front-right,back-right,even,forehand,17
,Lin Dan,back-right,middle-left,even,forehand,18
,Viktor Axelsen,middle-left,front-center,even,backhand,19
,Lin Dan,front-center,front-left,offensive,forehand,20
,Viktor Axelsen,front-left,back-left,defensive,backhand,21
,Lin Dan,back-left,back-right,defensive,forehand,22
,Viktor Axelsen,back-right,middle-left,even,forehand,23
,Lin Dan,middle-left,front-left,offensive,forehand,24
,Viktor Axelsen,front-left,back-right,defensive,backhand,25
,Lin Dan,back-right,back-left,defensive,forehand,26
,Viktor Axelsen,back-left,front-left,even,forehand,27
,Lin Dan,front-left,front-right,defensive,forehand,28
,Viktor Axelsen,front-right,front-right,offensive,forehand,29
1,Lin Dan,front-left,front-right,even,backhand,1
,Viktor Axelsen,front-center,front-left,even,forehand,2
,Lin Dan,front-left,back-right,even,forehand,3
,Viktor Axelsen,back-right,back-left,defensive,forehand,4
1,Lin Dan,front-right,front-center,even,backhand,1
,Viktor Axelsen,front-center,front-right,even,backhand,2
,Lin Dan,front-right,back-right,defensive,backhand,3
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-left,offensive,forehand,2
,Lin Dan,back-left,middle-right,defensive,forehand,3
,Viktor Axelsen,middle-right,front-right,offensive,forehand,4
,Lin Dan,front-right,front-center,even,backhand,5
,Viktor Axelsen,front-center,back-right,even,forehand,6
,Lin Dan,back-right,middle-right,even,forehand,7
1,Viktor Axelsen,front-left,front-center,even,backhand,1
,Lin Dan,front-center,back-right,even,backhand,2
,Viktor Axelsen,back-right,front-right,even,backhand,3
,Lin Dan,front-right,middle-left,even,backhand,4
,Viktor Axelsen,middle-left,back-right,even,backhand,5
,Lin Dan,back-right,middle-right,even,forehand,6
,Viktor Axelsen,middle-right,front-left,defensive,forehand,7
,Lin Dan,front-left,back-right,offensive,forehand,8
,Viktor Axelsen,back-right,front-center,defensive,forehand,9
,Lin Dan,front-center,front-center,even,forehand,10
,Viktor Axelsen,front-center,middle-center,offensive,forehand,11
,Lin Dan,middle-center,front-left,even,forehand,12
,Viktor Axelsen,front-left,middle-right,even,backhand,13
,Lin Dan,middle-right,front-left,even,backhand,14
,Viktor Axelsen,front-left,back-left,even,backhand,15
,Lin Dan,back-left,back-right,even,forehand,16
,Viktor Axelsen,back-right,middle-right,offensive,forehand,17
1,Viktor Axelsen,front-right,back-right,even,backhand,1
,Lin Dan,back-right,middle-left,even,forehand,2
,Viktor Axelsen,middle-left,front-right,even,backhand,3
,Lin Dan,front-right,front-center,even,backhand,4
,Viktor Axelsen,front-center,back-right,even,backhand,5
,Lin Dan,back-right,back-left,defensive,forehand,6
,Viktor Axelsen,back-left,back-right,even,forehand,7
,Lin Dan,back-right,back-right,even,forehand,8
,Viktor Axelsen,back-right,back-right,even,forehand,9
,Lin Dan,back-right,middle-left,offensive,forehand,10
1,Lin Dan,front-right,back-right,even,backhand,1
,Viktor Axelsen,back-right,front-left,defensive,forehand,2
,Lin Dan,front-left,front-center,offensive,forehand,3
,Viktor Axelsen,front-center,front-right,offensive,backhand,4
,Lin Dan,front-right,front-left,offensive,backhand,5
,Viktor Axelsen,front-left,back-left,defensive,backhand,6
,Lin Dan,back-left,front-right,defensive,forehand,7
,Viktor Axelsen,front-right,front-right,offensive,forehand,8
,Lin Dan,front-right,back-right,offensive,backhand,9
,Viktor Axelsen,back-right,back-left,defensive,forehand,10
,Lin Dan,back-left,middle-left,offensive,forehand,11
,Viktor Axelsen,middle-left,front-right,defensive,backhand,12
,Lin Dan,front-right,front-right,offensive,backhand,13
,Viktor Axelsen,front-right,back-right,defensive,forehand,14
,Lin Dan,back-right,middle-left,even,forehand,15
,Viktor Axelsen,middle-left,front-left,even,backhand,16
,Lin Dan,front-left,back-right,even,forehand,17
,Viktor Axelsen,back-right,middle-left,offensive,forehand,18
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-right,even,forehand,2
,Lin Dan,back-right,middle-left,even,forehand,3
1,Lin Dan,front-right,back-right,even,backhand,1
,Viktor Axelsen,back-right,front-left,defensive,forehand,2
,Lin Dan,front-left,front-right,offensive,forehand,3
,Viktor Axelsen,front-right,front-left,offensive,forehand,4
,Lin Dan,front-left,back-right,defensive,forehand,5
,Viktor Axelsen,back-right,middle-left,offensive,forehand,6
,Lin Dan,middle-left,front-right,defensive,forehand,7
,Viktor Axelsen,front-right,front-right,offensive,forehand,8
1,Lin Dan,front-left,front-center,even,backhand,1
,Viktor Axelsen,front-center,back-right,even,backhand,2
,Lin Dan,back-right,middle-center,even,forehand,3
,Viktor Axelsen,middle-center,middle-center,defensive,backhand,4
,Lin Dan,middle-center,middle-center,offensive,forehand,5
,Viktor Axelsen,middle-center,back-right,defensive,backhand,6
,Lin Dan,back-right,middle-left,offensive,forehand,7
,Viktor Axelsen,middle-left,back-right,even,backhand,8
,Lin Dan,back-right,front-center,offensive,forehand,9
,Viktor Axelsen,front-center,front-left,even,backhand,10
,Lin Dan,front-left,front-right,even,forehand,11
,Viktor Axelsen,front-right,back-left,defensive,forehand,12
,Lin Dan,back-left,front-center,even,forehand,13
,Viktor Axelsen,front-center,back-left,offensive,forehand,14
,Lin Dan,back-left,front-right,defensive,forehand,15
,Viktor Axelsen,front-right,back-right,offensive,forehand,16
,Lin Dan,back-right,front-left,defensive,forehand,17
,Viktor Axelsen,front-left,front-right,offensive,backhand,18
,Lin Dan,front-right,back-right,defensive,backhand,19
