serve,stroker,from,to,balance,hand,index
,Akane Yamaguchi,back-center,back-right,offensive,forehand,2
,Wang Shixian,back-right,front-right,defensive,forehand,3
,Akane Yamaguchi,front-right,back-left,defensive,forehand,4
,Wang Shixian,back-left,middle-right,offensive,forehand,5
,Akane Yamaguchi,middle-right,front-left,defensive,forehand,6
,Wang Shixian,front-left,back-right,offensive,backhand,7
,Akane Yamaguchi,back-right,back-left,defensive,forehand,8
,Wang Shixian,back-left,middle-center,offensive,forehand,9
1,Wang Shixian,front-right,back-left,even,forehand,1
,Akane Yamaguchi,back-center,middle-left,offensive,forehand,2
,Wang Shixian,middle-left,back-right,even,backhand,3
,Akane Yamaguchi,back-right,front-right,defensive,forehand,4
,Wang Shixian,front-right,back-right,even,forehand,5
,Akane Yamaguchi,back-right,front-left,defensive,forehand,6
,Wang Shixian,front-left,back-right,even,backhand,7
,Akane Yamaguchi,back-right,front-left,defensive,forehand,8
,Wang Shixian,front-left,back-right,even,backhand,9
,Akane Yamaguchi,back-right,front-left,defensive,forehand,10
,Wang Shixian,front-left,back-left,defensive,backhand,11
1,Akane Yamaguchi,front-right,back-center,even,forehand,1
,Wang Shixian,back-right,back-right,offensive,forehand,2
,Akane Yamaguchi,back-right,front-left,defensive,forehand,3
,Wang Shixian,front-left,back-right,offensive,backhand,4
,Akane Yamaguchi,back-right,middle-left,offensive,forehand,5
,Wang Shixian,middle-left,front-center,even,backhand,6
,Akane Yamaguchi,front-center,middle-center,offensive,backhand,7
,Wang Shixian,middle-center,front-center,defensive,backhand,8
,Akane Yamaguchi,front-center,middle-right,offensive,forehand,9
